works,value,students,classWidth,classLength
1,3.618904616450091,5,20,20
1,3.618904610686502,5,20,20
1,3.6189045283217856,5,20,20
1,5.294162585936138,5,20,20
1,3.61890459988793,5,20,20
1,3.6189045812817526,5,20,20
1,14.216287832991338,5,20,20
1,5.294161724544204,5,20,20
1,3.6189047272747663,6,20,20
1,14.632575198107924,6,20,20
1,5.294163040133992,6,20,20
1,3.6465901402136147,6,20,20
1,3.646030002994959,6,20,20
1,3.618904665489179,7,20,20
1,3.618904412442362,7,20,20
1,8.197180607025182,7,20,20
1,3.618904524305757,7,20,20
1,3.618904851623341,7,20,20
1,3.6189046868398766,8,20,20
1,3.6189044307227194,8,20,20
1,3.618905019796154,8,20,20
1,3.6189051230509124,8,20,20
1,8.197180702623212,8,20,20
1,3.618904517582697,9,20,20
1,3.6189050321684006,9,20,20
1,3.6189046256522377,9,20,20
1,3.6189049282219083,9,20,20
1,3.6189047322031285,9,20,20
1,5.294162199344297,10,20,20
1,3.618905333397637,10,20,20
1,3.618904566657528,10,20,20
1,3.6189047511591816,10,20,20
1,3.6189045905697785,10,20,20
1,5.29416175118583,11,20,20
1,3.618904865328105,11,20,20
1,5.294161850796778,11,20,20
1,8.19718065208599,11,20,20
1,3.618904556439006,11,20,20
1,3.6189043775142293,12,20,20
1,3.6189095637387796,12,20,20
1,5.294161597981663,12,20,20
1,3.61890472040334,12,20,20
1,3.618904920159507,12,20,20
1,3.6189052653577716,13,20,20
1,3.618905013736626,13,20,20
1,5.812279496559745,13,20,20
1,3.6189047350679413,13,20,20
1,3.618904876769583,13,20,20
1,3.6189044407362494,14,20,20
1,5.294162071349137,14,20,20
1,3.6189048151651564,14,20,20
1,3.61890489510518,14,20,20
1,3.618904616248603,14,20,20
1,3.618904416697826,15,20,20
1,5.294161734119257,15,20,20
1,3.618905045146083,15,20,20
1,3.6189045217115563,15,20,20
1,3.618905264279236,15,20,20
1,3.6189045927077137,16,20,20
1,3.6189045412229124,16,20,20
1,3.6189049419392734,16,20,20
1,5.294162315405184,16,20,20
1,3.618904417678078,16,20,20
1,3.6189046571112415,17,20,20
1,3.6189046930871656,17,20,20
1,3.618905357044711,17,20,20
1,3.618915405899429,17,20,20
1,3.618904548665488,17,20,20
1,3.6189045075043076,18,20,20
1,3.6189056018422168,18,20,20
1,3.618905141864277,18,20,20
1,3.6189049828875772,18,20,20
1,4.226459181250461,18,20,20
1,8.197180279063451,19,20,20
1,5.2941623185471,19,20,20
1,3.618905221425847,19,20,20
1,3.618904461452992,19,20,20
1,5.294161664425153,19,20,20
1,3.6189051784061563,5,20,21
1,5.812279868237952,5,20,21
1,3.6189044884945685,5,20,21
1,3.6189046526602406,5,20,21
1,3.618904798645333,5,20,21
1,3.6189049465036054,6,20,21
1,3.6189044344056804,6,20,21
1,3.618907111042273,6,20,21
1,3.618904630499025,6,20,21
1,3.618904731604272,6,20,21
1,3.6189052807864917,7,20,21
1,5.31540637832488,7,20,21
1,8.197180352050596,7,20,21
1,8.222024762205963,7,20,21
1,3.618904479802154,7,20,21
1,4.226459790507965,8,20,21
1,3.618904665657966,8,20,21
1,5.294161952175245,8,20,21
1,3.6189047910508263,8,20,21
1,8.19718008257947,8,20,21
1,9.163745223259259,9,20,21
1,3.6189049504287616,9,20,21
1,3.6189044251357023,9,20,21
1,5.294162670871534,9,20,21
1,3.6189045929600283,9,20,21
1,3.6189044767359957,10,20,21
1,3.6189046826985996,10,20,21
1,5.2941616463685754,10,20,21
1,9.163745354158463,10,20,21
1,3.618905428932649,10,20,21
1,3.6189046719802542,11,20,21
1,3.618904402528049,11,20,21
1,3.6189050175192286,11,20,21
1,3.6189046408244083,11,20,21
1,8.222024635441858,11,20,21
1,5.294162479685153,12,20,21
1,3.6189050054806713,12,20,21
1,3.618904716565188,12,20,21
1,3.6189049107211586,12,20,21
1,3.6189047653302664,12,20,21
1,5.294161704645246,13,20,21
1,5.812279510573957,13,20,21
1,3.6189044529578758,13,20,21
1,3.6189045566572284,13,20,21
1,3.618905032814805,13,20,21
1,5.29416177309573,14,20,21
1,3.6460302219843634,14,20,21
1,3.6189043900125606,14,20,21
1,5.294162037431699,14,20,21
1,3.618904962056282,14,20,21
1,3.618904839875416,15,20,21
1,5.294161703921576,15,20,21
1,3.618904947440295,15,20,21
1,3.6189045787096012,15,20,21
1,3.618905637080091,15,20,21
1,3.618904820220937,16,20,21
1,5.294162153469096,16,20,21
1,3.6189045024436712,16,20,21
1,5.294162007940858,16,20,21
1,3.61890505472661,16,20,21
1,3.6189044745097987,17,20,21
1,3.6189045177150896,17,20,21
1,4.2264595721675935,17,20,21
1,3.6189046213095195,17,20,21
1,3.6189045129841473,17,20,21
1,8.222024665770965,18,20,21
1,3.6189047622283614,18,20,21
1,3.61890492555506,18,20,21
1,4.226459501415811,18,20,21
1,3.618904426505123,18,20,21
1,5.294162003800164,19,20,21
1,3.61890453804955,19,20,21
1,3.6460310601922217,19,20,21
1,5.294161850010648,19,20,21
1,3.6189045134654365,19,20,21
1,3.6189047466641586,5,20,22
1,5.294170393454607,5,20,22
1,3.61890473337997,5,20,22
1,3.618904870012819,5,20,22
1,4.226459567241387,5,20,22
1,3.6460377819489995,6,20,22
1,4.226459149647654,6,20,22
1,5.294162494461457,6,20,22
1,3.61890455189801,6,20,22
1,3.618904630541878,6,20,22
1,5.294162056961289,7,20,22
1,3.618904742952503,7,20,22
1,9.163745488967786,7,20,22
1,3.618906813197735,7,20,22
1,4.226459420107124,7,20,22
1,3.618904504296118,8,20,22
1,3.6189048074126995,8,20,22
1,3.618904908803752,8,20,22
1,8.197180174283794,8,20,22
1,3.618904630145817,8,20,22
1,3.6189047740217464,9,20,22
1,3.6189050871002015,9,20,22
1,3.6189043883105123,9,20,22
1,3.618904650751019,9,20,22
1,3.6189045017741073,9,20,22
1,5.2941623197704075,10,20,22
1,3.6189049235595903,10,20,22
1,3.6189043659564826,10,20,22
1,3.6189044920354094,10,20,22
1,3.646578098645098,10,20,22
1,3.618904913215373,11,20,22
1,3.6189055638552574,11,20,22
1,3.618904844919649,11,20,22
1,4.226459402487359,11,20,22
1,4.226459722699798,11,20,22
1,3.61890461755727,12,20,22
1,3.6189044642853774,12,20,22
1,3.6189048487838145,12,20,22
1,3.618904734920698,12,20,22
1,3.6189046581949667,12,20,22
1,3.618904503113396,13,20,22
1,3.6189048308680585,13,20,22
1,5.294161769258425,13,20,22
1,3.618904457841693,13,20,22
1,5.294161583316967,13,20,22
1,15.613876161964933,14,20,22
1,4.226459424976979,14,20,22
1,9.163745257210685,14,20,22
1,3.6189046790296975,14,20,22
1,3.6189052525223033,14,20,22
1,5.294161802883189,15,20,22
1,3.6189046663434477,15,20,22
1,5.294161606919132,15,20,22
1,3.6189045504478705,15,20,22
1,3.6189047887481642,15,20,22
1,5.294161627789436,16,20,22
1,3.6189048461603344,16,20,22
1,3.6189044654170255,16,20,22
1,3.618905433394281,16,20,22
1,5.812279437476984,16,20,22
1,3.6189047701786197,17,20,22
1,3.6189063126992638,17,20,22
1,3.6189226714042695,17,20,22
1,3.6189047617656813,17,20,22
1,3.6189049633265955,17,20,22
1,3.618904715156983,18,20,22
1,5.294161589723598,18,20,22
1,3.618904430148042,18,20,22
1,5.294161860937417,18,20,22
1,5.294162029316888,18,20,22
1,5.315406374414086,19,20,22
1,5.294161743621315,19,20,22
1,5.294162692726208,19,20,22
1,14.216287697979912,19,20,22
1,4.2264593267388495,19,20,22
1,3.646590796264104,5,20,23
1,3.618904846577208,5,20,23
1,5.315406010900646,5,20,23
1,3.6189051190151478,5,20,23
1,3.61890450606043,5,20,23
1,5.294161599303998,6,20,23
1,3.618905188242355,6,20,23
1,4.2264598528433925,6,20,23
1,3.618904684785316,6,20,23
1,3.61890442903194,6,20,23
1,3.6189048708660567,7,20,23
1,3.6189046883195464,7,20,23
1,5.294161969093993,7,20,23
1,9.163745328554109,7,20,23
1,4.226459156298155,7,20,23
1,3.6189048458649475,8,20,23
1,16.09608381294472,8,20,23
1,3.6189049779772096,8,20,23
1,3.6189046025801925,8,20,23
1,3.6189047034192035,8,20,23
1,13.964547534713157,9,20,23
1,5.2941655276943,9,20,23
1,9.163745340536076,9,20,23
1,3.6189047627097315,9,20,23
1,3.618904466404691,9,20,23
1,3.618904994942651,10,20,23
1,3.6189047393447553,10,20,23
1,5.294162200631289,10,20,23
1,3.6460302211728566,10,20,23
1,3.6189048217044473,10,20,23
1,3.6189044040232443,11,20,23
1,3.6189049383508647,11,20,23
1,3.6189045660675516,11,20,23
1,3.618904971239945,11,20,23
1,3.61890512341868,11,20,23
1,3.618904426039964,12,20,23
1,3.618905816368827,12,20,23
1,3.618904750218064,12,20,23
1,3.618905061088376,12,20,23
1,16.09608381746045,12,20,23
1,3.6189045189142934,13,20,23
1,3.6189045406186815,13,20,23
1,5.294161556780107,13,20,23
1,3.618904586035172,13,20,23
1,3.6189050962996303,13,20,23
1,5.294161781344432,14,20,23
1,3.61890508187878,14,20,23
1,3.618904995682937,14,20,23
1,3.618904850404067,14,20,23
1,5.294161826107104,14,20,23
1,3.6189045193866938,15,20,23
1,3.6189049390118093,15,20,23
1,3.6189044567868676,15,20,23
1,5.294162128310651,15,20,23
1,3.618904588350392,15,20,23
1,4.226459303347608,16,20,23
1,3.6189045532211788,16,20,23
1,4.226460232064745,16,20,23
1,3.6189047736481452,16,20,23
1,5.294161823664119,16,20,23
1,4.226459478591683,17,20,23
1,5.812279989385924,17,20,23
1,8.222024273671138,17,20,23
1,3.6189050180060938,17,20,23
1,8.197180179775492,17,20,23
1,3.618904483115328,18,20,23
1,3.618904611835008,18,20,23
1,3.6189050498180104,18,20,23
1,3.6460302814438843,18,20,23
1,3.6189050726485035,18,20,23
1,3.646030571826411,19,20,23
1,3.6189044693298715,19,20,23
1,9.16374577618215,19,20,23
1,4.226459474407611,19,20,23
1,4.22646073858417,19,20,23
1,9.16374521070503,5,20,24
1,3.618904881467848,5,20,24
1,3.6189047505621366,5,20,24
1,5.294162111713353,5,20,24
1,3.6189049505690423,5,20,24
1,5.812279690585103,6,20,24
1,3.618904951381734,6,20,24
1,3.6189048041163505,6,20,24
1,3.618904543534594,6,20,24
1,3.6189044059371542,6,20,24
1,3.6189045842341994,7,20,24
1,5.29416206228082,7,20,24
1,5.29416150380322,7,20,24
1,3.618904778984228,7,20,24
1,5.294179150194933,7,20,24
1,3.6189048899472054,8,20,24
1,8.197180214300028,8,20,24
1,3.61890479661784,8,20,24
1,3.618904726501211,8,20,24
1,5.294162081302437,8,20,24
1,4.226459756674304,9,20,24
1,3.618904732541731,9,20,24
1,3.6460308046716676,9,20,24
1,3.6189045744585,9,20,24
1,3.6189046775409484,9,20,24
1,5.294162092377997,10,20,24
1,5.29416176555309,10,20,24
1,3.618905162285916,10,20,24
1,3.618905618378998,10,20,24
1,3.6189049751264433,10,20,24
1,5.294161561441228,11,20,24
1,3.6189048078340793,11,20,24
1,4.226459483185116,11,20,24
1,3.6189044832463715,11,20,24
1,3.6189045857123734,11,20,24
1,3.6189046048707585,12,20,24
1,3.618904421841186,12,20,24
1,3.618904747569064,12,20,24
1,3.6189049547739303,12,20,24
1,5.812280151603113,12,20,24
1,5.294162680719446,13,20,24
1,3.618905291891399,13,20,24
1,3.618904577928669,13,20,24
1,3.6189045209107764,13,20,24
1,3.61890481052514,13,20,24
1,4.226459251738332,14,20,24
1,8.197180604300506,14,20,24
1,5.294162172697418,14,20,24
1,3.6189050300088588,14,20,24
1,16.32429699084589,14,20,24
1,3.6189044805612394,15,20,24
1,3.618905235823756,15,20,24
1,3.6189050481404834,15,20,24
1,3.618904656377183,15,20,24
1,5.294161617384502,15,20,24
1,3.618905212696284,16,20,24
1,5.812279693030954,16,20,24
1,3.6460302939284466,16,20,24
1,3.618905493154673,16,20,24
1,3.6189045295036015,16,20,24
1,3.6189050066504986,17,20,24
1,3.618905067319089,17,20,24
1,4.226459709238417,17,20,24
1,3.618904784193536,17,20,24
1,3.618904507255857,17,20,24
1,5.294162076445195,18,20,24
1,3.618904513622714,18,20,24
1,5.294162479879868,18,20,24
1,3.6189048007869555,18,20,24
1,5.294161869689072,18,20,24
1,5.294162202679693,19,20,24
1,5.812279796960395,19,20,24
1,8.222024271130707,19,20,24
1,3.6189048167179654,19,20,24
1,8.222024169090188,19,20,24
1,3.6189049576300696,5,20,25
1,3.64603021816643,5,20,25
1,4.2264595563109175,5,20,25
1,3.6189050058471337,5,20,25
1,3.6189046706240853,5,20,25
1,16.096083801850973,6,20,25
1,3.6189051846228235,6,20,25
1,3.6189047827230176,6,20,25
1,5.294162742877653,6,20,25
1,5.294162164891813,6,20,25
1,3.618904593034191,7,20,25
1,5.294161936999576,7,20,25
1,3.618904462455628,7,20,25
1,5.2941617987140495,7,20,25
1,3.618904735703568,7,20,25
1,3.6189044652230993,8,20,25
1,3.618904707772689,8,20,25
1,3.6189051047770104,8,20,25
1,3.618904618573307,8,20,25
1,8.197180309413424,8,20,25
1,3.618904609482384,9,20,25
1,3.6189050511986194,9,20,25
1,5.294162361459734,9,20,25
1,3.618904787691496,9,20,25
1,5.294161942370956,9,20,25
1,5.2941621974246695,10,20,25
1,3.6189047949087443,10,20,25
1,8.197180722974853,10,20,25
1,3.6189048765739207,10,20,25
1,5.294161569585828,10,20,25
1,3.618904850883602,11,20,25
1,5.294162307217161,11,20,25
1,3.6189044305024134,11,20,25
1,5.294162054092967,11,20,25
1,3.6189052538798117,11,20,25
1,3.6189045952985714,12,20,25
1,3.6189044242950903,12,20,25
1,4.2264593316162875,12,20,25
1,3.618904945742147,12,20,25
1,3.618905232524219,12,20,25
1,5.812279569455712,13,20,25
1,5.812279634406198,13,20,25
1,3.6189047845289988,13,20,25
1,3.618904869032176,13,20,25
1,3.6189050205080986,13,20,25
1,8.222024571318174,14,20,25
1,3.6189048847789738,14,20,25
1,4.2264591815531665,14,20,25
1,5.294162160217328,14,20,25
1,3.61890449260279,14,20,25
1,3.6189048314296786,15,20,25
1,3.6189050382172847,15,20,25
1,3.6189050762782227,15,20,25
1,3.6189047117765734,15,20,25
1,3.618904529682711,15,20,25
1,3.6189051058835617,16,20,25
1,3.6189044373128674,16,20,25
1,3.618904498139562,16,20,25
1,5.294161815539653,16,20,25
1,8.197180383979692,16,20,25
1,3.6189051902645675,17,20,25
1,5.294161522302802,17,20,25
1,3.6189044410907343,17,20,25
1,3.6189044086748927,17,20,25
1,3.6189048080935016,17,20,25
1,3.6189048427140573,18,20,25
1,5.294162076067494,18,20,25
1,3.6189045901649863,18,20,25
1,3.618904561038812,18,20,25
1,3.618904695135001,18,20,25
1,3.618904510543799,19,20,25
1,3.6189050391715325,19,20,25
1,3.6189044539722697,19,20,25
1,3.6189047072807576,19,20,25
1,3.618907789417823,19,20,25
1,3.6189046502179325,5,20,26
1,3.6189072129097055,5,20,26
1,3.618904909151067,5,20,26
1,5.294161675734432,5,20,26
1,3.618904780207645,5,20,26
1,3.618904787514982,6,20,26
1,3.618904524511748,6,20,26
1,4.226459227445924,6,20,26
1,3.618905088475696,6,20,26
1,3.6189053052990867,6,20,26
1,3.6189047580525027,7,20,26
1,5.294161816166267,7,20,26
1,3.618904918103545,7,20,26
1,3.618904646631829,7,20,26
1,3.618904795833847,7,20,26
1,3.6189049819736905,8,20,26
1,4.226459330864653,8,20,26
1,3.618904746341595,8,20,26
1,3.618904438231262,8,20,26
1,3.618905094536146,8,20,26
1,3.618904445013351,9,20,26
1,5.294161862543234,9,20,26
1,5.8122795294585945,9,20,26
1,3.618904469400854,9,20,26
1,5.294162303246859,9,20,26
1,3.6189046343730014,10,20,26
1,3.618904716833755,10,20,26
1,3.6189047109831582,10,20,26
1,3.6189045973473783,10,20,26
1,5.294161708737049,10,20,26
1,3.618904418603078,11,20,26
1,5.294162886323187,11,20,26
1,5.29416258655604,11,20,26
1,3.618904927714905,11,20,26
1,5.294161961878582,11,20,26
1,3.6460306813713514,12,20,26
1,3.618904504842539,12,20,26
1,3.6189048435777047,12,20,26
1,3.618904542909912,12,20,26
1,3.6189046734712007,12,20,26
1,3.6189047283319717,13,20,26
1,4.226459609873162,13,20,26
1,3.6189046035918047,13,20,26
1,3.618905020736344,13,20,26
1,3.6189046094258526,13,20,26
1,5.812279768673465,14,20,26
1,4.22645941927034,14,20,26
1,3.618905250626063,14,20,26
1,3.6189044873853606,14,20,26
1,3.618904688371643,14,20,26
1,5.294161863000195,15,20,26
1,5.294161603747104,15,20,26
1,3.61890503985902,15,20,26
1,16.321824112426253,15,20,26
1,3.6189048150096217,15,20,26
1,15.759122184023918,16,20,26
1,5.294161667638896,16,20,26
1,3.6189049500920953,16,20,26
1,3.6189046162313554,16,20,26
1,8.22202495847497,16,20,26
1,5.294162169969736,17,20,26
1,4.226459375640105,17,20,26
1,3.6189045541134135,17,20,26
1,5.29416197888202,17,20,26
1,3.6189044069567537,17,20,26
1,3.618904539763222,18,20,26
1,8.197180173638293,18,20,26
1,3.6189045136983533,18,20,26
1,3.6189049448480346,18,20,26
1,8.197180547865626,18,20,26
1,3.6189052241497515,19,20,26
1,3.6189044575808813,19,20,26
1,8.197180456884315,19,20,26
1,5.294162340192058,19,20,26
1,3.6189044106818917,19,20,26
1,4.226459465845299,5,20,27
1,3.618904480384805,5,20,27
1,16.208620529110743,5,20,27
1,17.900308519547036,5,20,27
1,5.294162073536907,5,20,27
1,3.618904728952626,6,20,27
1,3.618904668739672,6,20,27
1,5.294162074459732,6,20,27
1,3.6189049792858388,6,20,27
1,3.6460302437604897,6,20,27
1,5.81228001627326,7,20,27
1,5.294162533136935,7,20,27
1,3.6189044873959886,7,20,27
1,5.2941621162058485,7,20,27
1,3.6189045595430933,7,20,27
1,3.618904716982307,8,20,27
1,16.32182412922398,8,20,27
1,3.618904904046689,8,20,27
1,3.618904587286635,8,20,27
1,3.618904772070997,8,20,27
1,3.646030186860729,9,20,27
1,3.6189046726558813,9,20,27
1,3.618904467567045,9,20,27
1,4.226459240930666,9,20,27
1,15.613875972546339,9,20,27
1,3.6189048510297246,10,20,27
1,3.6189044592309183,10,20,27
1,8.197180915231428,10,20,27
1,3.618904449787888,10,20,27
1,3.6189046648795693,10,20,27
1,3.6189048045412906,11,20,27
1,9.163745031249293,11,20,27
1,3.618905090476571,11,20,27
1,3.618905272512556,11,20,27
1,4.226459148653147,11,20,27
1,3.6189046297212264,12,20,27
1,5.294161823373481,12,20,27
1,8.197180554114507,12,20,27
1,3.6189051209216965,12,20,27
1,5.294161794704354,12,20,27
1,3.6189050441676844,13,20,27
1,3.61890458217081,13,20,27
1,5.294161730697728,13,20,27
1,3.6189045007377687,13,20,27
1,5.8122798474015935,13,20,27
1,8.222024342367902,14,20,27
1,5.294162545119313,14,20,27
1,3.618904400960332,14,20,27
1,5.294161992585704,14,20,27
1,3.618905105133108,14,20,27
1,3.6189044895294846,15,20,27
1,5.294161804675783,15,20,27
1,3.618905258571239,15,20,27
1,3.6189045476962254,15,20,27
1,16.09608415778271,15,20,27
1,3.618904924968391,16,20,27
1,9.163745061175897,16,20,27
1,3.6189048145792646,16,20,27
1,3.6189050712977684,16,20,27
1,5.294161713834503,16,20,27
1,3.6189049577753227,17,20,27
1,3.618904441126648,17,20,27
1,3.618904544066413,17,20,27
1,3.61890471001894,17,20,27
1,3.6189047819836357,17,20,27
1,9.163745105478679,18,20,27
1,5.294161726933571,18,20,27
1,3.618904562005775,18,20,27
1,3.6189044947710207,18,20,27
1,14.216288209480732,18,20,27
1,3.646030604878545,19,20,27
1,3.6189048153068892,19,20,27
1,3.618904833377507,19,20,27
1,5.294161738737445,19,20,27
1,3.618904803950117,19,20,27
1,5.2941618885305,5,20,28
1,3.6189048050752497,5,20,28
1,3.618904647407556,5,20,28
1,3.618904511830489,5,20,28
1,14.216287913859686,5,20,28
1,3.6189045274456326,6,20,28
1,5.294162223794953,6,20,28
1,3.61890497504729,6,20,28
1,3.618904955849606,6,20,28
1,5.294161773152704,6,20,28
1,3.6189044909114205,7,20,28
1,3.618904717713101,7,20,28
1,14.216287761273103,7,20,28
1,3.6189044627094087,7,20,28
1,3.618904996913136,7,20,28
1,3.6460300072401592,8,20,28
1,5.294163836223957,8,20,28
1,3.6189047056797694,8,20,28
1,3.6189047453119283,8,20,28
1,3.6189044958357526,8,20,28
1,5.294162157943341,9,20,28
1,3.618905289943193,9,20,28
1,4.2264592628662925,9,20,28
1,3.618904963438817,9,20,28
1,3.618904820804082,9,20,28
1,5.294161592127128,10,20,28
1,3.6189048170996396,10,20,28
1,3.6189048680322506,10,20,28
1,5.294163708213782,10,20,28
1,3.6189082831069674,10,20,28
1,5.294161773054559,11,20,28
1,3.6189050078995844,11,20,28
1,9.163745424617908,11,20,28
1,5.294161799894709,11,20,28
1,8.197180640447238,11,20,28
1,3.618904753039193,12,20,28
1,5.2941615893219875,12,20,28
1,4.2264602043725885,12,20,28
1,3.6189047474526292,12,20,28
1,3.6189048036558864,12,20,28
1,3.6189050538308365,13,20,28
1,3.6189048123228487,13,20,28
1,3.61890465191996,13,20,28
1,3.618905014135162,13,20,28
1,4.226461206408435,13,20,28
1,8.222024171169119,14,20,28
1,5.812279716413142,14,20,28
1,3.6189048010121048,14,20,28
1,3.6189049890691853,14,20,28
1,5.294162128527233,14,20,28
1,3.618904932497503,15,20,28
1,4.226459788676779,15,20,28
1,3.6189044379637396,15,20,28
1,5.29416183745619,15,20,28
1,3.618904823998555,15,20,28
1,3.618904417155427,16,20,28
1,3.6189044328179785,16,20,28
1,3.618904719277814,16,20,28
1,3.6189047065504165,16,20,28
1,3.6189046104757288,16,20,28
1,3.6189046218626424,17,20,28
1,5.812279753412438,17,20,28
1,8.197181106243818,17,20,28
1,3.6189044921419073,17,20,28
1,3.6189049145211896,17,20,28
1,5.294161874993507,18,20,28
1,3.6189047245746004,18,20,28
1,3.646030049930642,18,20,28
1,3.6189051641744134,18,20,28
1,9.163745207738309,18,20,28
1,3.6189047841097235,19,20,28
1,5.294162121472559,19,20,28
1,4.226459429421719,19,20,28
1,4.226460325500488,19,20,28
1,5.29416242404909,19,20,28
1,3.618905816107503,5,20,29
1,3.6189044546223457,5,20,29
1,3.6189046711271935,5,20,29
1,3.6189047148756845,5,20,29
1,5.812279972354039,5,20,29
1,3.6189050137337255,6,20,29
1,3.618905325092981,6,20,29
1,5.294162150582619,6,20,29
1,5.294161817761809,6,20,29
1,3.618905195095587,6,20,29
1,3.6189045299516143,7,20,29
1,3.6189044903383905,7,20,29
1,5.294161885007692,7,20,29
1,4.226459270696152,7,20,29
1,3.6189049641321027,7,20,29
1,3.618904501721257,8,20,29
1,3.6189046019860416,8,20,29
1,3.6189047092029085,8,20,29
1,8.197180301725805,8,20,29
1,3.6189044357052866,8,20,29
1,3.618904683405687,9,20,29
1,3.618904708031273,9,20,29
1,3.618904815524457,9,20,29
1,3.61890469415425,9,20,29
1,3.618904719441925,9,20,29
1,3.6189178157373556,10,20,29
1,5.294161585259419,10,20,29
1,8.197180592619107,10,20,29
1,3.6189049261435065,10,20,29
1,3.6189046119965558,10,20,29
1,3.6189044442523874,11,20,29
1,3.6189050021209233,11,20,29
1,3.61890497521403,11,20,29
1,5.294161576555638,11,20,29
1,3.61890459149437,11,20,29
1,3.6189046878493887,12,20,29
1,3.64603034608006,12,20,29
1,4.226459347494373,12,20,29
1,3.6189046316416253,12,20,29
1,3.6189049835635587,12,20,29
1,3.6189047470063307,13,20,29
1,3.618905853388181,13,20,29
1,3.6189051879899474,13,20,29
1,8.222024612320643,13,20,29
1,3.6189047599627666,13,20,29
1,5.294161776624414,14,20,29
1,3.618904506973191,14,20,29
1,5.294161763179286,14,20,29
1,8.19718017426534,14,20,29
1,3.6189046464298427,14,20,29
1,3.6189046659752844,15,20,29
1,3.6189047380106696,15,20,29
1,5.294161844671535,15,20,29
1,3.618904805469534,15,20,29
1,3.6189053276012646,15,20,29
1,5.3154065696881565,16,20,29
1,3.618904637782663,16,20,29
1,5.294162108863125,16,20,29
1,5.294161830524868,16,20,29
1,3.618904943093661,16,20,29
1,3.6189049218140843,17,20,29
1,5.2941617981385924,17,20,29
1,3.6189049026729316,17,20,29
1,3.618904419320548,17,20,29
1,3.618904962199369,17,20,29
1,3.6189050509681997,18,20,29
1,5.81227969854739,18,20,29
1,3.6189051733201207,18,20,29
1,3.6189045773914366,18,20,29
1,3.618904881513155,18,20,29
1,3.618904501914318,19,20,29
1,5.29416178603634,19,20,29
1,5.294161748055757,19,20,29
1,3.6189044914270294,19,20,29
1,3.6189050012326227,19,20,29
1,3.618904549239105,5,20,30
1,5.294161863026425,5,20,30
1,5.812280035194322,5,20,30
1,3.618904748937954,5,20,30
1,3.6189045183402366,5,20,30
1,3.6189046973460384,6,20,30
1,3.618915847216169,6,20,30
1,4.226459301288047,6,20,30
1,3.618905125716044,6,20,30
1,3.618904517170404,6,20,30
1,3.6189047822946323,7,20,30
